route,start_stop_code_lbsl,end_stop_code_lbsl
117,15227,15228
117,15228,H371
117,H371,6201
117,6201,2792
117,2792,6206
117,6206,1778
117,1778,BP1747
117,BP1747,BP1748
117,BP1748,BP929
117,BP929,20266
117,20266,6211
117,6211,1773
117,1773,17667
117,17667,4565
117,4565,16802
117,16802,16805
117,16805,19398
117,19398,27840
117,27840,R0157
117,R0157,BP3535
117,BP3535,20817
117,20817,16831
117,16831,16832
117,16832,16834
117,16834,16835
117,16835,3564
117,3564,16838
117,16838,13554
117,13554,BP1697
117,BP1697,3592
117,3592,16839
117,16839,3554
117,3554,16842
117,16842,26496
117,26496,36625
117,36625,16847
117,16847,16848
117,16848,16850
117,16850,16852
117,16852,16854
117,16854,16857
117,16857,16858
117,16858,2740
117,2740,4579
117,4579,34376
117,34376,16860
117,16860,1569
117,1569,BP2426
117,BP2426,OC711
223,R0839,37309
223,37309,15015
223,15015,BP4385
223,BP4385,20041
223,20041,34328
223,34328,1755
223,1755,16127
223,16127,17663
223,17663,H1156
223,H1156,H1101
223,H1101,H1099
223,H1099,H1112
223,H1112,BP972
223,BP972,H1098
223,H1098,HC127
223,HC127,17057
223,17057,17056
223,17056,M24
223,M24,M25
223,M25,M26
223,M26,17009
223,17009,37230
223,37230,20993
223,20993,20996
223,20996,11133
223,11133,13149
223,13149,37172
223,37172,1483
223,1483,R0268
223,R0268,BP4911
19,R0003,379
19,379,15059
19,15059,15061
19,15061,1552
19,1552,15063
19,15063,15065
19,15065,9242
19,9242,11470
19,11470,80001
19,80001,33092
19,33092,29748
19,29748,9995
19,9995,36602
19,36602,297
19,297,1045
19,1045,1802
19,1802,616
19,616,2622
19,2622,R0078
19,R0078,14682
19,14682,BP5485
19,BP5485,BP5486
19,BP5486,BP5172
19,BP5172,1054
19,1054,37229
19,37229,34716
19,34716,34717
19,34717,15192
19,15192,988
19,988,109
19,109,20821
19,20821,1151
19,1151,3900
19,3900,894
19,894,36881
19,36881,25136
19,25136,11292
19,11292,11293
19,11293,11295
19,11295,1449
19,1449,11300
19,11300,12874
205,29981,25096
205,25096,900
205,900,2059
205,2059,4826
205,4826,BP2895
205,BP2895,7725
205,7725,2952
205,2952,947
205,947,1736
205,1736,2050
205,2050,945
205,945,R0330
205,R0330,943
205,943,2045
205,2045,2043
205,2043,13451
205,13451,BP5244
205,BP5244,33683
205,33683,29651
205,29651,37075
205,37075,BP4112
205,BP4112,20726
205,20726,29071
205,29071,188
205,188,29930
205,29930,8372
205,8372,8368
205,8368,BP1079
205,BP1079,361
205,361,1074
205,1074,BP134
205,BP134,34940
205,34940,183
205,183,14736
205,14736,27622
205,27622,20917
205,20917,672
205,672,34438
205,34438,544
205,544,36792
205,36792,2870
205,2870,1582
205,1582,724
205,724,28972
205,28972,BP1402
205,BP1402,353
205,353,33283
205,33283,33284
205,33284,11666
205,11666,BP5665
150,BP1296,3321
150,3321,15586
150,15586,4296
150,4296,15004
150,15004,20697
150,20697,3816
150,3816,15445
150,15445,33456
150,33456,1355
150,1355,16600
150,16600,1728
150,1728,4331
150,4331,15441
150,15441,FC53
150,FC53,FC04
150,FC04,BP3460
150,BP3460,FC40
150,FC40,35410
150,35410,FC42
150,FC42,15438
150,15438,16345
150,16345,15436
150,15436,14203
150,14203,8621
150,8621,13557
150,13557,15392
150,15392,13151
150,13151,15394
150,15394,15396
150,15396,25368
150,25368,34310
150,34310,416
150,416,15398
150,15398,15400
150,15400,20740
150,20740,20742
150,20742,20744
150,20744,20746
150,20746,20748
150,20748,20884
150,20884,BP1266
150,BP1266,20886
150,20886,20888
150,20888,20890
150,20890,20352
143,35213,35207
143,35207,15749
143,15749,33356
143,33356,15930
143,15930,15928
143,15928,16488
143,16488,16490
143,16490,16491
143,16491,BP2832
143,BP2832,16494
143,16494,16496
143,16496,16498
